index,X,Y,Z,val,feature_name,strike,dip
1,1535654.7393615793,5310757.282662294,0.0,0.0,Awatere Fault,,
2,1542843.1097724915,5312063.566066175,0.0,0.0,Awatere Fault,,
3,1548829.0452177208,5314436.247047524,0.0,0.0,Awatere Fault,,
4,1548828.560099179,5314502.723586263,0.0,0.0,Awatere Fault,,
5,1557157.8133585826,5316353.726500071,0.0,0.0,Awatere Fault,,
6,1561533.518012013,5319482.370063251,0.0,0.0,Awatere Fault,,
7,1567473.9795219018,5322529.316691732,0.0,0.0,Awatere Fault,,
8,1581518.455248292,5330840.387238861,0.0,0.0,Awatere Fault,,
9,1585167.4926223932,5331722.905300519,0.0,0.0,Awatere Fault,,
10,1587327.5870760311,5332061.743646187,0.0,0.0,Awatere Fault,,
11,1588873.5370281434,5333311.210045839,0.0,0.0,Awatere Fault,,
12,1590864.206202323,5334062.984169236,0.0,0.0,Awatere Fault,,
13,1592770.1780033335,5335291.296628336,0.0,0.0,Awatere Fault,,
14,1595046.7481382934,5336318.400363642,0.0,0.0,Awatere Fault,,
15,1596920.9477377716,5336212.513380623,0.0,0.0,Awatere Fault,,
16,1599811.6623742597,5337075.492292246,0.0,0.0,Awatere Fault,,
17,1600711.7017299396,5337149.613180361,0.0,0.0,Awatere Fault,,
18,1601802.3376550602,5337414.330637914,0.0,0.0,Awatere Fault,,
19,1603094.1588479222,5337509.628922632,0.0,0.0,Awatere Fault,,
20,1604851.8827660773,5337975.531647928,0.0,0.0,Awatere Fault,,
21,1605995.4621827076,5338176.716915667,0.0,0.0,Awatere Fault,,
22,1607604.9443246352,5338250.837803785,0.0,0.0,Awatere Fault,,
23,1608875.5881208924,5339002.635383236,0.0,0.0,Awatere Fault,,
24,1610125.0545205472,5339489.715505132,0.0,0.0,Awatere Fault,,
25,1611406.2870151044,5339680.31207457,0.0,0.0,Awatere Fault,,
26,1611819.2462488888,5339839.142549102,0.0,0.0,Awatere Fault,,
27,1612782.8177943823,5340199.158291375,0.0,0.0,Awatere Fault,,
28,1615181.1579598167,5341120.375043662,0.0,0.0,Awatere Fault,,
29,1616187.08429852,5341739.813894337,0.0,0.0,Awatere Fault,,
30,1617897.159074317,5342676.913694076,0.0,0.0,Awatere Fault,,
31,1619093.6819824583,5343381.062131168,0.0,0.0,Awatere Fault,,
32,1619866.6569585146,5343889.319649668,0.0,0.0,Awatere Fault,,
33,1621137.300754774,5344312.867581755,0.0,0.0,Awatere Fault,,
34,1622945.3209898637,5344990.544273091,0.0,0.0,Awatere Fault,,
35,1623625.644855776,5345114.96147814,0.0,0.0,Awatere Fault,,
36,1624057.1343115866,5345210.259762861,0.0,0.0,Awatere Fault,,
37,1624165.6684691843,5345305.5580475805,0.0,0.0,Awatere Fault,,
38,1624298.0271979612,5345382.326110271,0.0,0.0,Awatere Fault,,
39,1624504.5068148533,5345443.211125509,0.0,0.0,Awatere Fault,,
40,1624681.867511414,5345541.156584803,0.0,0.0,Awatere Fault,,
41,1625232.4798231258,5346012.353659247,0.0,0.0,Awatere Fault,,
42,1625865.6508919136,5346426.636480317,0.0,0.0,Awatere Fault,,
43,1626066.33981442,5346492.815844707,0.0,0.0,Awatere Fault,,
44,1492027.659351266,5280028.2659990415,0.0,0.0,Clarence Fault,,
45,1497826.3895910615,5280779.953252348,0.0,0.0,Clarence Fault,,
46,1501692.2097509254,5280565.185465689,0.0,0.0,Clarence Fault,,
47,1506652.7910572374,5280660.231325774,0.0,0.0,Clarence Fault,,
48,1511947.140208309,5280522.5782478405,0.0,0.0,Clarence Fault,,
49,1517265.3322189609,5280837.680714735,0.0,0.0,Clarence Fault,,
50,1520047.4944094496,5280967.303576524,0.0,0.0,Clarence Fault,,
51,1524028.844971053,5281740.278552582,0.0,0.0,Clarence Fault,,
52,1527396.0510311355,5282216.769976173,0.0,0.0,Clarence Fault,,
53,1530043.2256066697,5283265.051108087,0.0,0.0,Clarence Fault,,
54,1537201.1856589196,5286399.305805516,0.0,0.0,Clarence Fault,,
55,1542664.9539828247,5287839.368774606,0.0,0.0,Clarence Fault,,
56,1545926.2730598846,5289279.431743695,0.0,0.0,Clarence Fault,,
57,1556769.10012128,5294319.652135511,0.0,0.0,Clarence Fault,,
58,1562910.5451365197,5298470.421869947,0.0,0.0,Clarence Fault,,
59,1570431.6114385573,5302339.409505716,0.0,0.0,Clarence Fault,,
60,1575362.8543398422,5304273.028539517,0.0,0.0,Clarence Fault,,
61,1582330.2178226518,5305861.333284838,0.0,0.0,Clarence Fault,,
62,1584596.1992593068,5306750.78394222,0.0,0.0,Clarence Fault,,
63,1586629.2293333197,5308000.250341869,0.0,0.0,Clarence Fault,,
64,1591955.344579296,5312034.544394981,0.0,0.0,Clarence Fault,,
65,1593638.9476093394,5312902.817655757,0.0,0.0,Clarence Fault,,
66,1597535.5885845255,5314554.654590891,0.0,0.0,Clarence Fault,,
67,1599018.0063468255,5315645.29051601,0.0,0.0,Clarence Fault,,
68,1602226.3819323753,5317900.683254365,0.0,0.0,Clarence Fault,,
69,1602671.1072610638,5318461.884264379,0.0,0.0,Clarence Fault,,
70,1603385.8443964585,5319430.750159024,0.0,0.0,Clarence Fault,,
71,1604222.3515623277,5320193.136436777,0.0,0.0,Clarence Fault,,
72,1605058.858728198,5320659.039162073,0.0,0.0,Clarence Fault,,
73,1606837.7600429575,5321098.470141611,0.0,0.0,Clarence Fault,,
74,1607617.795288854,5321668.782813503,0.0,0.0,Clarence Fault,,
75,1608674.899198379,5322512.061364947,0.0,0.0,Clarence Fault,,
76,1611274.42463156,5323940.212048447,0.0,0.0,Clarence Fault,,
77,1617096.8023862466,5325456.009027662,0.0,0.0,Clarence Fault,,
78,1618007.4304402308,5325688.960390309,0.0,0.0,Clarence Fault,,
79,1618940.642202309,5326142.66129529,0.0,0.0,Clarence Fault,,
80,1621677.3243681805,5327339.184203433,0.0,0.0,Clarence Fault,,
81,1623985.6605980492,5328609.827999689,0.0,0.0,Clarence Fault,,
82,1625865.6508919091,5329234.561199514,0.0,0.0,Clarence Fault,,
83,1627564.6406241744,5329520.456053674,0.0,0.0,Clarence Fault,,
84,1630524.6781448512,5329425.157768953,0.0,0.0,Clarence Fault,,
85,1632261.2246664008,5329467.512562159,0.0,0.0,Clarence Fault,,
86,1635040.7579707138,5330755.362993153,0.0,0.0,Clarence Fault,,
87,1636396.1113533892,5331962.474599596,0.0,0.0,Clarence Fault,,
88,1638789.157169673,5333444.892361895,0.0,0.0,Clarence Fault,,
89,1641245.735175769,5335160.261486843,0.0,0.0,Clarence Fault,,
90,1643035.2251888325,5336166.187825545,0.0,0.0,Clarence Fault,,
91,1643924.6758462128,5337002.694991414,0.0,0.0,Clarence Fault,,
92,1644920.0134866138,5337309.767242175,0.0,0.0,Clarence Fault,,
93,1645502.391893233,5337701.549079354,0.0,0.0,Clarence Fault,,
94,1648213.0986585822,5339607.514773737,0.0,0.0,Clarence Fault,,
95,1649928.4677835274,5340729.916793763,0.0,0.0,Clarence Fault,,
96,1651029.6924069494,5341555.835261331,0.0,0.0,Clarence Fault,,
97,1653062.7224809614,5342678.237281358,0.0,0.0,Clarence Fault,,
98,1654227.4792941976,5343652.397525152,0.0,0.0,Clarence Fault,,
99,1655095.7525549748,5344150.066345354,0.0,0.0,Clarence Fault,,
100,1657065.2504391705,5345865.435470299,0.0,0.0,Clarence Fault,,
101,1657721.7497339044,5346754.88612768,0.0,0.0,Clarence Fault,,
102,1660146.5616450948,5349211.464133776,0.0,0.0,Clarence Fault,,
103,1661512.5037260696,5350799.768879094,0.0,0.0,Clarence Fault,,
104,1663376.114627248,5351996.291787235,0.0,0.0,Clarence Fault,,
105,1664646.7584235058,5353362.233868213,0.0,0.0,Clarence Fault,,
106,1664900.887182756,5354643.46636277,0.0,0.0,Clarence Fault,,
107,1667092.7477312996,5356867.093006222,0.0,0.0,Clarence Fault,,
108,1669083.423012101,5357883.608043226,0.0,0.0,Clarence Fault,,
109,1670258.7685236386,5359037.776158158,0.0,0.0,Clarence Fault,,
110,1672365.9194857648,5360710.790489895,0.0,0.0,Clarence Fault,,
111,1673869.5146446694,5361621.418543882,0.0,0.0,Clarence Fault,,
112,1675987.2543051008,5362828.530150325,0.0,0.0,Clarence Fault,,
113,1677342.6076877725,5363580.3277297765,0.0,0.0,Clarence Fault,,
114,1679629.766521035,5364152.117438093,0.0,0.0,Clarence Fault,,
115,1681387.490439191,5364448.600990552,0.0,0.0,Clarence Fault,,
116,1683822.891048683,5365687.478691908,0.0,0.0,Clarence Fault,,
117,1684108.7859028408,5366629.872840797,0.0,0.0,Clarence Fault,,
118,1684437.035550208,5366989.888583069,0.0,0.0,Clarence Fault,,
119,1685961.8081057172,5368144.056698002,0.0,0.0,Clarence Fault,,
120,1689254.8932776826,5369457.05528747,0.0,0.0,Clarence Fault,,
121,1692336.2044836087,5370791.231273543,0.0,0.0,Clarence Fault,,
122,1583479.0915884313,5304987.765674911,0.0,0.0,Elliott Fault,,
123,1589027.569498754,5304818.346502078,0.0,0.0,Elliott Fault,,
124,1591475.212016674,5305184.495939799,0.0,0.0,Elliott Fault,,
125,1598218.5596250142,5306343.1190575855,0.0,0.0,Elliott Fault,,
126,1604269.327841951,5306781.858776324,0.0,0.0,Elliott Fault,,
127,1608235.46821884,5307550.230664029,0.0,0.0,Elliott Fault,,
128,1612259.1735736555,5310536.243585231,0.0,0.0,Elliott Fault,,
129,1615033.4125288157,5312992.821591326,0.0,0.0,Elliott Fault,,
130,1617553.5227247253,5315152.91604496,0.0,0.0,Elliott Fault,,
131,1619374.7788326954,5316465.914634425,0.0,0.0,Elliott Fault,,
132,1620297.103056349,5318051.203783823,0.0,0.0,Elliott Fault,,
133,1620793.6644051818,5318721.30737278,0.0,0.0,Elliott Fault,,
134,1622064.30820144,5319324.863176001,0.0,0.0,Elliott Fault,,
135,1622879.6379707037,5320002.539867339,0.0,0.0,Elliott Fault,,
136,1623504.3711705303,5320987.288809437,0.0,0.0,Elliott Fault,,
137,1624224.402655078,5322903.8432021225,0.0,0.0,Elliott Fault,,
138,1627132.6912064771,5324948.479425169,0.0,0.0,Elliott Fault,,
139,1628433.410230178,5326207.517072392,0.0,0.0,Elliott Fault,,
140,1628819.8977182065,5326816.367224763,0.0,0.0,Elliott Fault,,
141,1629185.2078096303,5327176.382967037,0.0,0.0,Elliott Fault,,
142,1629624.6387891676,5327615.813946574,0.0,0.0,Elliott Fault,,
143,1630487.617700794,5328404.671970082,0.0,0.0,Elliott Fault,,
144,1630858.222141367,5328732.92161745,0.0,0.0,Elliott Fault,,
145,1631382.3627073246,5329071.759963117,0.0,0.0,Elliott Fault,,
146,1632261.059217995,5329467.181665342,0.0,0.0,Elliott Fault,,
147,1446980.1160995204,5247759.406053511,0.0,0.0,Hope fault,,
148,1454393.842346918,5249508.653180087,0.0,0.0,Hope fault,,
149,1459010.5148066534,5249783.959335895,0.0,0.0,Hope fault,,
150,1462928.33317845,5250906.361355884,0.0,0.0,Hope fault,,
151,1477900.752577682,5258530.224133327,0.0,0.0,Hope fault,,
152,1480357.3305837784,5259165.546031443,0.0,0.0,Hope fault,,
